layer,x1_mm,y1_mm,x2_mm,y2_mm,width_mm,length_mm,net
F.Cu,149.5,140.5,149.4,140.4,0.2,0.14,island_007
F.Cu,199.5,132.75,199.4,132.85,0.2,0.14,island_008
F.Cu,201.0,137.0,201.75,136.25,0.2,1.06,island_008
F.Cu,201.75,133.25,201.25,132.75,0.2,0.71,island_008
F.Cu,201.25,132.75,199.5,132.75,0.2,1.75,island_008
F.Cu,199.4,137.0,201.0,137.0,0.2,1.6,island_008
F.Cu,201.75,136.25,201.75,133.25,0.2,3.0,island_008
F.Cu,199.4,134.85,199.4,135.3,0.2,0.45,island_009
F.Cu,200.75,133.5,199.4,134.85,0.2,1.91,island_009
F.Cu,199.4,140.85,199.4,138.7,0.2,2.15,island_010
F.Cu,199.0,141.25,199.4,140.85,0.2,0.57,island_010
B.Cu,208.0,159.5,206.5,158.0,0.1,2.12,AUDIO_OUT_L
B.Cu,152.456,160.62,151.326,161.75,0.1,1.6,AUDIO_OUT_L
B.Cu,210.25,159.5,208.0,159.5,0.1,2.25,AUDIO_OUT_L
B.Cu,151.326,161.75,98.0,161.75,0.1,53.33,AUDIO_OUT_L
B.Cu,153.05,158.0,153.0,157.95,0.1,0.07,AUDIO_OUT_L
B.Cu,206.5,158.0,153.05,158.0,0.1,53.45,AUDIO_OUT_L
B.Cu,163.051,150.949,168.949,150.949,0.1,5.9,USART1_TX
B.Cu,210.199,150.845,210.199,150.751,0.1,0.09,USART1_TX
B.Cu,169.0,151.0,169.546,151.546,0.1,0.77,USART1_TX
B.Cu,200.5,96.25,200.75,96.25,0.1,0.25,USART1_TX
B.Cu,200.5,78.0,200.5,77.15,0.1,0.85,USART1_TX
B.Cu,209.628,150.845,210.199,150.845,0.1,0.57,USART1_TX
B.Cu,169.546,151.546,169.75,151.546,0.1,0.2,USART1_TX
B.Cu,210.199,150.751,210.75,150.2,0.1,0.78,USART1_TX
B.Cu,209.129,151.344,209.611,150.861,0.1,0.68,USART1_TX
B.Cu,169.75,151.546,209.129,151.546,0.1,39.38,USART1_TX
B.Cu,201.25,78.75,200.5,78.0,0.1,1.06,USART1_TX
B.Cu,209.129,151.546,209.129,151.5,0.1,0.05,USART1_TX
B.Cu,168.949,150.949,169.0,151.0,0.1,0.07,USART1_TX
B.Cu,225.0,96.25,200.5,96.25,0.1,24.5,USART1_TX
B.Cu,209.129,151.5,209.129,151.344,0.1,0.16,USART1_TX
B.Cu,209.611,150.861,209.628,150.845,0.1,0.02,USART1_TX
B.Cu,163.0,151.0,163.051,150.949,0.1,0.07,USART1_TX
B.Cu,152.637,156.05,180.0,156.05,0.1,27.36,SD_CK
B.Cu,115.75,157.0,115.998,157.248,0.1,0.35,SD_CK
B.Cu,115.75,147.25,115.75,157.0,0.1,9.75,SD_CK
B.Cu,106.19,146.905,106.635,147.35,0.1,0.63,SD_CK
B.Cu,115.998,157.248,116.25,157.248,0.1,0.25,SD_CK
B.Cu,151.439,157.248,152.218,156.468,0.1,1.1,SD_CK
B.Cu,152.218,156.468,152.637,156.05,0.1,0.59,SD_CK
B.Cu,106.635,147.35,112.25,147.35,0.1,5.62,SD_CK
B.Cu,116.25,157.248,151.439,157.248,0.1,35.19,SD_CK
B.Cu,111.699,140.25,109.5,142.449,0.1,3.11,SD_D2
